"x1","x2","obs"
140,116,10
198,88,14
174,112,2
168,52,32
206,44,10
160,112,9
200,70,15
192,108,19
204,54,10
174,68,33
210,110,14
190,94,35
148,120,6
198,90,18
162,54,37
190,46,14
186,58,12
194,52,3
180,106,17
208,66,12
202,76,7
202,48,14
174,52,20
168,74,22
178,78,29
198,56,6
210,58,9
144,42,14
186,92,41
152,94,12
192,98,26
204,112,9
164,80,18
156,86,6
178,56,21
154,106,10
206,108,6
168,106,8
140,92,12
152,68,29
196,68,11
184,112,14
190,50,9
200,44,17
172,60,40
154,66,30
154,60,26
168,94,29
162,70,31
204,90,14
206,82,9
180,74,20
166,90,14
162,94,12
196,48,6
144,88,16
184,82,27
174,42,14
196,56,10
148,106,14
164,102,15
210,116,8
210,54,14
194,98,20
172,110,11
174,46,13
170,80,27
186,76,16
140,66,12
152,104,3
146,42,9
158,84,11
148,98,14
166,62,53
176,60,33
208,118,11
150,84,7
192,78,15
172,82,34
186,74,14
152,44,13
178,100,22
166,40,14
152,110,10
192,88,23
158,44,23
202,74,9
166,92,25
146,96,9
168,92,27
170,48,20
200,80,11
152,102,15
176,108,12
184,84,31
192,56,7
208,114,13
160,106,12
186,68,17
156,56,33
182,62,17
156,68,19
176,96,30
164,48,22
204,118,10
194,112,10
176,46,15
164,52,41
162,44,21
144,76,6
142,80,5
178,40,11
158,80,19
180,66,25
142,94,13
162,46,26
158,60,33
204,86,9
166,88,24
146,54,15
194,58,14
186,66,10
158,88,16
170,112,9
146,68,16
156,46,24
170,70,32
210,102,17
162,40,18
196,60,17
156,100,15
168,100,20
194,114,11
158,116,15
204,68,11
158,78,9
200,72,12
198,76,13
166,64,38
200,42,15
188,86,29
192,80,16
172,52,22
162,78,22
188,76,18
202,66,8
166,84,27
150,54,26
206,112,4
170,76,32
210,108,12
160,114,6
204,94,16
144,96,10
190,66,14
206,120,12
184,88,42
144,60,13
180,58,22
186,118,12
170,102,11
164,60,44
174,116,7
188,78,17
164,100,9
190,110,19
174,54,23
162,118,3
202,86,12
188,110,22
200,52,3
180,62,22
144,40,13
154,76,21
170,106,14
190,114,5
170,74,29
208,116,9
140,44,7
178,86,46
152,100,11
168,70,32
166,74,30
194,50,10
188,60,5
198,78,7
186,50,20
174,72,28
202,46,13
172,106,14
170,62,41
204,62,15
150,114,15
158,42,6
172,98,25
182,98,36
148,50,16
174,70,25
192,76,15
206,62,6
